glb,candidate,dinov2,status
model_0001.glb,voxel_224,0.06915,ok
model_0001.glb,voxel_288_smooth,0.02735,ok
model_0002.glb,voxel_224,0.11278,ok
model_0002.glb,voxel_288_smooth,0.01298,ok
model_0003.glb,voxel_224,0.08608,ok
model_0003.glb,voxel_288_smooth,0.04034,ok
model_0004.glb,voxel_224,0.12329,ok
model_0004.glb,voxel_288_smooth,0.02468,ok
model_0005.glb,voxel_224,0.10116,ok
model_0005.glb,voxel_288_smooth,0.02757,ok
model_0006.glb,voxel_224,0.12562,ok
model_0006.glb,voxel_288_smooth,0.02797,ok
model_0007.glb,voxel_224,0.12481,ok
model_0007.glb,voxel_288_smooth,0.03631,ok
model_0008.glb,voxel_224,0.08773,ok
model_0008.glb,voxel_288_smooth,0.04543,ok
model_0009.glb,voxel_224,0.11765,ok
model_0009.glb,voxel_288_smooth,0.02981,ok
model_0010.glb,voxel_224,0.10884,ok
model_0010.glb,voxel_288_smooth,0.02638,ok
model_0011.glb,voxel_224,0.147,ok
model_0011.glb,voxel_288_smooth,0.04,ok
model_0012.glb,voxel_224,0.12491,ok
model_0012.glb,voxel_288_smooth,0.0628,ok
model_0013.glb,voxel_224,0.11013,ok
model_0013.glb,voxel_288_smooth,0.04432,ok
model_0014.glb,voxel_224,0.08862,ok
model_0014.glb,voxel_288_smooth,0.04132,ok
model_0015.glb,voxel_224,0.10225,ok
model_0015.glb,voxel_288_smooth,0.0358,ok
model_0016.glb,voxel_224,0.14783,ok
model_0016.glb,voxel_288_smooth,0.06613,ok
model_0017.glb,voxel_224,0.11162,ok
model_0017.glb,voxel_288_smooth,0.04425,ok
model_0018.glb,voxel_224,0.10941,ok
model_0018.glb,voxel_288_smooth,0.05539,ok
model_0019.glb,voxel_224,0.11131,ok
model_0019.glb,voxel_288_smooth,0.04666,ok
model_0020.glb,voxel_224,0.11836,ok
model_0020.glb,voxel_288_smooth,0.04017,ok
model_0021.glb,voxel_224,0.1151,ok
model_0021.glb,voxel_288_smooth,0.05285,ok
model_0022.glb,voxel_224,0.12584,ok
model_0022.glb,voxel_288_smooth,0.04805,ok
model_0023.glb,voxel_224,0.17062,ok
model_0023.glb,voxel_288_smooth,0.05793,ok
model_0024.glb,voxel_224,0.11921,ok
model_0024.glb,voxel_288_smooth,0.05217,ok
model_0025.glb,voxel_224,0.09668,ok
model_0025.glb,voxel_288_smooth,0.05058,ok
model_0026.glb,voxel_224,0.1353,ok
model_0026.glb,voxel_288_smooth,0.06854,ok
model_0027.glb,voxel_224,0.09897,ok
model_0027.glb,voxel_288_smooth,0.03308,ok
model_0028.glb,voxel_224,0.09383,ok
model_0028.glb,voxel_288_smooth,0.04097,ok
model_0029.glb,voxel_224,0.1568,ok
model_0029.glb,voxel_288_smooth,0.05568,ok
model_0030.glb,voxel_224,0.0817,ok
model_0030.glb,voxel_288_smooth,0.01739,ok
model_0031.glb,voxel_224,0.0883,ok
model_0031.glb,voxel_288_smooth,0.01448,ok
model_0032.glb,voxel_224,0.09405,ok
model_0032.glb,voxel_288_smooth,0.02698,ok
model_0033.glb,voxel_224,0.0912,ok
model_0033.glb,voxel_288_smooth,0.03272,ok
model_0034.glb,voxel_224,0.09645,ok
model_0034.glb,voxel_288_smooth,0.02674,ok
model_0035.glb,voxel_224,0.07044,ok
model_0035.glb,voxel_288_smooth,0.02079,ok
model_0036.glb,voxel_224,0.08482,ok
model_0036.glb,voxel_288_smooth,0.01254,ok
model_0037.glb,voxel_224,0.07592,ok
