glb,candidate,status,repair_s,topo_faces,topo_verts,topo_boundary_edges,topo_nonmanifold_edges,topo_watertight,topo_winding,topo_components,topo_euler,topo_nonmanifold_rate,f1@0.01,p@0.01,r@0.01,f1@0.005,curv_wass,chamfer_pct,normal_consistency,detail_s,wall_s
model_0056.glb,voxel_288,ok,4.904,583332,291342,0,0,True,True,1,-324,0.0,0.7559490442484582,0.7551,0.7568,0.22379995531674757,0.25863246400565354,0.4339655363530445,0.8854692728593914,5.297,12.61
model_0056.glb,voxel_224_smooth,ok,4.257,351754,175649,0,0,True,True,1,-228,0.0,0.731486001366554,0.7347,0.7283,0.18509864937821421,0.1238552219215825,0.48129251887663405,0.9573168665245717,3.546,9.09
model_0056.glb,voxel_288_smooth,ok,7.56,583332,291342,0,0,True,True,1,-324,0.0,0.7521468058228065,0.7537,0.7506,0.2195999999995,0.12141746990103741,0.4324285639522436,0.961297684297632,5.258,14.67
model_0057.glb,voxel_288,ok,1.469,63648,31826,0,0,True,True,1,2,0.0,0.9999999999995,1.0,1.0,0.8624909101444275,0.4392619771670243,0.23326619761412856,0.9444179071159693,1.445,3.6
model_0057.glb,voxel_224_smooth,ok,1.087,39484,19744,0,0,True,True,1,2,0.0,0.9997499374838711,1.0,0.9995,0.8121857819900214,0.3825060236818335,0.2721823722921023,0.9594624158337918,1.134,2.83
model_0057.glb,voxel_288_smooth,ok,1.855,63648,31826,0,0,True,True,1,2,0.0,0.9998999999995,0.9999,0.9999,0.8831497707066278,0.422453155734186,0.2170662601669926,0.9711117638489255,1.414,3.93
model_0058.glb,voxel_288,ok,3.074,366688,182990,0,0,True,True,1,-354,0.0,0.862648466932787,0.8615,0.8638,0.3185262596133754,0.24367520851684,0.37983648692995564,0.8767421544553726,3.599,7.9
model_0058.glb,voxel_224_smooth,ok,2.647,220824,110150,0,0,True,True,1,-262,0.0,0.8504244989120963,0.8645,0.8368,0.28129399217866824,0.14192679467336827,0.42456117409493854,0.939763776020806,2.509,6.21
model_0058.glb,voxel_288_smooth,ok,4.724,366688,182990,0,0,True,True,1,-354,0.0,0.8685329342001793,0.8724,0.8647,0.339480088364743,0.1782948075291229,0.37526220940121036,0.9489174246549616,3.633,10.03
model_0059.glb,voxel_288,ok,3.251,342592,171110,0,0,True,True,1,-186,0.0,0.8737482117305443,0.8725,0.875,0.34004293486202025,0.2577265953259906,0.37837620465011834,0.8851957358604685,3.473,7.87
